"module";"cvid";"viewname";"is_default";"is_editable";"is_for_widgets";"sequence";"created_by";"sort";"filter";"columns_list";"cvid";"viewname";"setdefault";"setmetrics";"entitytype";"status";"userid";"privileges";"featured";"sequence";"presence";"description";"sort";"color"
"Claims";"130";"All";"1";"1";"1";"0";"---";"null";"";"internal_cash_transfer, total_penalty, claim_id, insured, provider, portfolio, onboarding_status, claim_status, ho_attorney_confirmation_statu, claim_number, policy_number, case.case_id, total_bill_amount, adjusted_face_value, purchase_price, hurdle, portfolio.hurdle, portfolio.hurdle_percent, total_collections, total_balance_owed, date_of_loss, date_of_service, modifiedtime";"130";"All";"1";"1";"Claims";"3";"18";"1";"0";"0";"0";"";"null";""
"Claims";"160";"All in Portfolio";"0";"1";"1";"4";"---";"null";"";"claim_id, claim_number, onboarding_status, total_bill_amount, purchase_price";"160";"All in Portfolio";"0";"1";"Claims";"3";"18";"1";"null";"4";"1";"";"null";""
"Claims";"182";"All by Purchase";"0";"1";"1";"6";"---";"null";"";"provider, portfolio, portfolio_purchase, claim_id, claim_number, onboarding_status, total_bill_amount, purchase_price";"182";"All by Purchase";"0";"1";"Claims";"3";"18";"1";"null";"6";"1";"";"null";""
"Claims";"207";"ostatnio zmieniane";"0";"1";"0";"7";"adminak";"null";"";"onboarding_status, modifiedtime, claim_id, claim_number";"207";"ostatnio zmieniane";"0";"0";"Claims";"1";"7";"1";"null";"7";"1";"";"null";""
"Claims";"208";"FIND_SIMILAR_CLAIMS";"0";"1";"0";"8";"adminak";"null";"";"claim_id, claim_number, provider, insured, policy_number";"208";"FIND_SIMILAR_CLAIMS";"0";"0";"Claims";"1";"7";"1";"null";"8";"1";"";"null";""
"Claims";"211";"Claims -&gt;PP";"0";"1";"0";"9";"adminak";"null";"";"claim_number, portfolio_purchase";"211";"Claims -&gt;PP";"0";"0";"Claims";"1";"7";"1";"null";"9";"1";"";"null";""
"Claims";"218";"Onboarding";"0";"1";"1";"10";"---";"null";"";"claim_id, provider, portfolio, claim_number, onboarding_status, assigned_user_id, requires_attention, similar_claims, type_of_claim, county, insured, insured.street, insured.zip, insured.city, insured.state, insured.county, insured.e_mail, insured.phone, policy_number, insurance_company, insurance_company_email, insurance_policy_uploaded, insurance_shared, insurance_shared_notes, insurance_policy_details, policy_valid_from, policy_valid_to, date_of_loss, date_of_service, type_of_job, types_of_services, cause_of_loss, pre_attorney_name, pre_litigation_status, onb_comments, claim_underwriter, claim_acceptant, onb_street, onb_city, onb_zip, state, onb_claim_number, onb_policy_number, onb_email, client_signature, home_owner_signature, onb_date_of_loss, aob_date, date_of_first_notification, days_apart_dofn_aob, dates_verified, per_unit_cost_estimate, roof_area, report_with_pics, dry_logs, need_labs, denial_reason, onb_others, insurance_company_insured_comm, onb_warnings, total_bill_amount, prior_collections, adjustments, adjusted_face_value, note, lock_automation, createdtime, modifiedtime";"218";"Onboarding";"0";"1";"Claims";"3";"18";"1";"null";"10";"1";"";"null";""
"Claims";"219";"Migration check";"0";"1";"0";"11";"ian.molina";"null";"";"case.case_id, claim_id, provider, portfolio, portfolio_purchase, portfolio_purchase.purchase_date, insurance_company, insured, onboarding_status, claim_status, claim_number, policy_number, total_bill_amount, adjusted_face_value, purchase_price, hurdle, portfolio.hurdle, portfolio.hurdle_percent, date_of_loss, date_of_service";"219";"Migration check";"0";"0";"Claims";"1";"19";"1";"null";"11";"1";"";"null";""
"Claims";"221";"Onboarding - Open";"0";"1";"1";"12";"---";"null";""AND .onboarding_status e 'Pending Underwriting##In Underwriting##Pending Approval'"";"claim_id, provider, portfolio, claim_number, onboarding_status, assigned_user_id, requires_attention, similar_claims, type_of_claim, county, insured, insured.street, insured.zip, insured.city, insured.state, insured.county, insured.e_mail, insured.phone, policy_number, insurance_company, insurance_company_email, insurance_policy_uploaded, insurance_shared, insurance_shared_notes, insurance_policy_details, policy_valid_from, policy_valid_to, date_of_loss, date_of_service, type_of_job, types_of_services, cause_of_loss, pre_attorney_name, pre_litigation_status, onb_comments, claim_underwriter, claim_acceptant, onb_street, onb_city, onb_zip, state, onb_claim_number, onb_policy_number, onb_email, client_signature, home_owner_signature, onb_date_of_loss, aob_date, date_of_first_notification, days_apart_dofn_aob, dates_verified, per_unit_cost_estimate, roof_area, report_with_pics, dry_logs, need_labs, denial_reason, onb_others, insurance_company_insured_comm, onb_warnings, total_bill_amount, prior_collections, adjustments, adjusted_face_value, note, lock_automation, createdtime, modifiedtime";"221";"Onboarding - Open";"0";"1";"Claims";"3";"18";"1";"null";"12";"1";"";"null";""
"Claims";"223";"Onboarding - Mine";"0";"1";"1";"13";"---";"null";""AND .assigned_user_id om ''"";"claim_id, provider, portfolio, claim_number, onboarding_status, assigned_user_id, requires_attention, similar_claims, type_of_claim, county, insured, insured.street, insured.zip, insured.city, insured.state, insured.county, insured.e_mail, insured.phone, policy_number, insurance_company, insurance_company_email, insurance_policy_uploaded, insurance_shared, insurance_shared_notes, insurance_policy_details, policy_valid_from, policy_valid_to, date_of_loss, date_of_service, type_of_job, types_of_services, cause_of_loss, pre_attorney_name, pre_litigation_status, onb_comments, claim_underwriter, claim_acceptant, onb_street, onb_city, onb_zip, state, onb_claim_number, onb_policy_number, onb_email, client_signature, home_owner_signature, onb_date_of_loss, aob_date, date_of_first_notification, days_apart_dofn_aob, dates_verified, per_unit_cost_estimate, roof_area, report_with_pics, dry_logs, need_labs, denial_reason, onb_others, insurance_company_insured_comm, onb_warnings, total_bill_amount, prior_collections, adjustments, adjusted_face_value, note, lock_automation, createdtime, modifiedtime";"223";"Onboarding - Mine";"0";"1";"Claims";"3";"18";"1";"null";"13";"1";"";"null";""
"Claims";"224";"Onboarding - Mine Open";"0";"1";"1";"14";"---";"null";""AND .onboarding_status e 'Pending Underwriting##In Underwriting##Pending Approval'", "AND .assigned_user_id om ''"";"claim_id, provider, portfolio, claim_number, onboarding_status, assigned_user_id, requires_attention, similar_claims, type_of_claim, county, insured, insured.street, insured.zip, insured.city, insured.state, insured.county, insured.e_mail, insured.phone, policy_number, insurance_company, insurance_company_email, insurance_policy_uploaded, insurance_shared, insurance_shared_notes, insurance_policy_details, policy_valid_from, policy_valid_to, date_of_loss, date_of_service, type_of_job, types_of_services, cause_of_loss, pre_attorney_name, pre_litigation_status, onb_comments, claim_underwriter, claim_acceptant, onb_street, onb_city, onb_zip, state, onb_claim_number, onb_policy_number, onb_email, client_signature, home_owner_signature, onb_date_of_loss, aob_date, date_of_first_notification, days_apart_dofn_aob, dates_verified, per_unit_cost_estimate, roof_area, report_with_pics, dry_logs, need_labs, denial_reason, onb_others, insurance_company_insured_comm, onb_warnings, total_bill_amount, prior_collections, adjustments, adjusted_face_value, note, lock_automation, createdtime, modifiedtime";"224";"Onboarding - Mine Open";"0";"1";"Claims";"3";"18";"1";"null";"14";"1";"";"null";""
"Claims";"225";"Underwriting review Summary (Claims)";"0";"1";"0";"15";"ian.molina";"null";"";"onboarding_status, provider, portfolio, claim_id, onb_warnings, insured, claim_number, policy_number, insurance_company.force_place_carrier, insurance_company.in_good_standing, aob_date, home_owner_signature, client_signature, report_with_pics, onb_comments";"225";"Underwriting review Summary (Claims)";"0";"0";"Claims";"1";"19";"1";"null";"15";"1";"";"null";""
"Claims";"226";"underwriting review";"0";"1";"0";"16";"shantanu";"null";""AND .claim_status e 'Open'"";"case.case_id, claim_underwriter, provider, portfolio, onb_warnings, claim_id, insured, insurance_company.in_good_standing, insurance_company.force_place_carrier, client_signature, home_owner_signature";"226";"underwriting review";"0";"0";"Claims";"1";"11";"1";"null";"16";"1";"";"null";""
"Claims";"229";"UW REVISION";"0";"1";"0";"17";"luis-claimpay";"null";"";"claim_id, provider, portfolio, insurance_company, onboarding_status, insured, requires_attention, onb_warnings, onb_warning_to_acceptant, onb_comments, claim_underwriter, onb_street, onb_city, state, onb_zip, onb_policy_number, onb_claim_number, onb_email, per_unit_cost_estimate, home_owner_signature, client_signature, onb_date_of_loss, aob_date, date_of_first_notification, days_apart_dofn_aob, dates_verified, type_of_job, types_of_services, roof_area, total_bill_amount, overhead_and_profit, prior_collections, adjusted_face_value, report_with_pics, dry_logs, need_labs, onb_others, policy_valid_from, policy_valid_to, denial_reason, insurance_company_insured_comm, similar_claims.similar_claims";"229";"UW REVISION";"0";"0";"Claims";"3";"22";"1";"null";"17";"1";"Luis UW verification";"null";""
"Claims";"233";"FILTRO";"0";"1";"0";"18";"joaquin.alvarez@claimpal.net";"null";"";"claim_underwriter, claim_id, insured, provider, claim_number, policy_number, insurance_company, portfolio, aob_date, date_of_loss, type_of_job, onboarding_status";"233";"FILTRO";"0";"0";"Claims";"1";"29";"1";"null";"18";"1";"";"null";""
"Claims";"234";"Check 1";"0";"1";"0";"19";"ian.molina";"null";"";"insured.street, portfolio_purchase, claim_id, provider, portfolio, insured, onboarding_status, claim_status, claim_number, policy_number, case.case_id, total_bill_amount, adjusted_face_value, purchase_price, hurdle, portfolio.hurdle, portfolio.hurdle_percent, date_of_loss, date_of_service, modifiedtime, createdtime";"234";"Check 1";"0";"0";"Claims";"1";"19";"1";"null";"19";"1";"";"null";""
"Claims";"235";"Temporary uw review";"0";"1";"0";"20";"test_claim_management";"null";"";"createdtime, claim_id, provider, portfolio, insurance_company, onboarding_status, insured, requires_attention, onb_warnings, onb_warning_to_acceptant, onb_comments, claim_underwriter, onb_street, onb_city, state, onb_zip, onb_policy_number, onb_claim_number, onb_email, per_unit_cost_estimate, home_owner_signature, client_signature, onb_date_of_loss, aob_date, date_of_first_notification, days_apart_dofn_aob, dates_verified, type_of_job, types_of_services, roof_area, total_bill_amount, adjustments, prior_collections, total_balance_owed, report_with_pics, dry_logs, need_labs, onb_others, policy_valid_from, policy_valid_to, denial_reason, insurance_company_insured_comm";"235";"Temporary uw review";"0";"0";"Claims";"3";"14";"1";"null";"20";"1";"";"null";""
"Claims";"236";"Assigned";"0";"1";"0";"21";"ian.molina";"null";"";"assigned_user_id, claim_id, provider, portfolio, insured, onboarding_status, claim_status, claim_number, policy_number, case.case_id, total_bill_amount, adjusted_face_value, purchase_price, hurdle, portfolio.hurdle, portfolio.hurdle_percent, date_of_loss, date_of_service, modifiedtime, createdtime";"236";"Assigned";"0";"0";"Claims";"1";"19";"1";"null";"21";"1";"";"null";""
"Claims";"237";"Missing info request for clients";"0";"1";"0";"22";"test_claim_management";"null";"";"insured, insurance_company, onb_policy_number, onb_claim_number, type_of_job, total_bill_amount, onb_comments";"237";"Missing info request for clients";"0";"0";"Claims";"2";"14";"1";"null";"22";"1";"";"null";""
"Claims";"238";"FILTRAR";"0";"1";"0";"23";"maria.barron@claimpay.net";"null";"";"claim_underwriter, claim_id, portfolio, insured, provider, claim_number, policy_number, insurance_company, onboarding_status, date_of_loss, type_of_job, aob_date";"238";"FILTRAR";"0";"0";"Claims";"1";"32";"1";"null";"23";"1";"";"null";""
"Claims";"242";"UW REVISION - Comments for client";"0";"1";"0";"24";"luis-claimpay";"null";"";"portfolio, onboarding_status, insured, insurance_company, onb_policy_number, onb_claim_number, onb_comments";"242";"UW REVISION - Comments for client";"0";"0";"Claims";"3";"22";"1";"null";"24";"1";"Luis UW verification";"null";""
"Claims";"249";"moje";"0";"1";"0";"25";"adminak";"null";""AND .insured s 'Koby'"";"insured, modifiedtime, type_of_claim, case, outside_case, claim_number, total_reserves_to_be_released, claim_id, purchase_price, total_collections, adjusted_face_value, buyback_penalty_percent";"249";"moje";"0";"0";"Claims";"1";"7";"1";"null";"25";"1";"";"null";""
"Claims";"260";"ILLEGAL DATA: inconsistent Portfolio";"0";"1";"0";"26";"adminak";"null";""AND .portfolio rne 'portfolio:PortfolioPurchases:portfolio_purchase'"";"claim_number, claim_id, portfolio, portfolio_purchase";"260";"ILLEGAL DATA: inconsistent Portfolio";"0";"0";"Claims";"3";"7";"1";"null";"26";"1";"";"null";""
"Claims";"261";"ILLEGAL DATA: inconsistent Provider";"0";"1";"0";"27";"adminak";"null";""OR .provider rne 'provider:PortfolioPurchases:portfolio_purchase'", "OR .provider rne 'provider:Portfolios:portfolio'", "OR .provider rne 'provider:PortfolioPurchases:buyback_portfolio_purchase'"";"claim_number, claim_id, provider, portfolio_purchase, portfolio, buyback_portfolio_purchase";"261";"ILLEGAL DATA: inconsistent Provider";"0";"0";"Claims";"3";"7";"1";"null";"27";"1";"";"null";""
"Claims";"289";"All - Similar Claims";"0";"1";"1";"28";"admindb";"null";"";"claim_id, similar_claims, similar_claims.no_similar_claims, similar_claims.no_same_claim_number, similar_claims.no_same_policy_number, similar_claims.no_same_insured_name, similar_claims.no_same_insured_address, provider, portfolio, insured, onboarding_status, claim_status, claim_number, policy_number, case.case_id, total_bill_amount, adjusted_face_value, purchase_price, hurdle, portfolio.hurdle, portfolio.hurdle_percent, total_collections, date_of_loss, date_of_service, modifiedtime, createdtime";"289";"All - Similar Claims";"0";"1";"Claims";"3";"5";"1";"null";"28";"1";"";"null";""
"Claims";"295";"test";"0";"1";"1";"29";"admindb";"null";""AND .claim_id n '1113'", "AND": [ "OR .insured c 'oh'", "OR .type_of_claim e 'AOB'" ], ";"claim_id, provider, portfolio, insured, onboarding_status, claim_status, claim_number, policy_number, case.case_id, total_bill_amount, adjusted_face_value, purchase_price, hurdle, portfolio.hurdle, portfolio.hurdle_percent, total_collections, date_of_loss, date_of_service, modifiedtime, createdtime";"295";"test";"0";"1";"Claims";"3";"5";"1";"null";"29";"1";"";"null";""
"Claims";"530";"Overhead and Profit ";"0";"1";"0";"30";"adminak";"null";"";"overhead_and_profit, conducted_by, case, claim_id, claim_number, provider, type_of_claim, similar_claims";"530";"Overhead and Profit ";"0";"0";"Claims";"1";"7";"1";"null";"30";"1";"";"null";""
"Claims";"531";"Conducted by";"0";"1";"0";"31";"adminak";"null";"";"modifiedtime, conducted_by, claim_number, provider, type_of_claim, insured, insurance_company";"531";"Conducted by";"0";"0";"Claims";"1";"7";"1";"null";"31";"1";"";"null";""
"Claims";"536";"Type of claim";"0";"1";"0";"32";"adminak";"null";"";"conducted_by, claim_number, type_of_claim, insured, insurance_company";"536";"Type of claim";"0";"0";"Claims";"1";"7";"1";"null";"32";"1";"";"null";""
"Claims";"539";"Claim - Case - Outside Case";"0";"1";"0";"33";"adminak";"null";"";"outside_case, case, claim_id, insured, provider, portfolio, onboarding_status, claim_status, claim_number, policy_number";"539";"Claim - Case - Outside Case";"0";"0";"Claims";"1";"7";"1";"null";"33";"1";"";"null";""
"Claims";"559";"All - Collection test";"0";"1";"1";"34";"Preetham";"null";"";"outside_case.outside_case_id, claim_id, insured, provider, portfolio, onboarding_status, claim_status, claim_number, policy_number, case.case_id, total_bill_amount, adjusted_face_value, purchase_price, hurdle, portfolio.hurdle, portfolio.hurdle_percent, total_collections, total_balance_owed, date_of_loss, date_of_service, modifiedtime, createdtime";"559";"All - Collection test";"0";"1";"Claims";"1";"86";"1";"null";"34";"1";"";"null";""
"Claims";"561";"ILLEGAL DATA: Purchased but w/o Claim Status or Case";"0";"1";"0";"35";"admindb";"null";""AND .onboarding_status e 'Purchased'", "AND": [ "OR .claim_status y ''", "OR": [ "AND .case y ''", "AND .outside_case y ''", "AND .claim_status n 'Buyback'" ],  ], ";"claim_id, insured, provider, portfolio, onboarding_status, claim_status, type_of_claim, claim_number, policy_number, conducted_by, case, outside_case, total_bill_amount, adjusted_face_value, purchase_price, hurdle, portfolio.hurdle, portfolio.hurdle_percent, total_collections, total_balance_owed, date_of_loss, date_of_service, modifiedtime, createdtime, lock_automation";"561";"ILLEGAL DATA: Purchased but w/o Claim Status or Case";"0";"0";"Claims";"3";"5";"1";"null";"35";"1";"";"null";""
"Claims";"564";"Buyback on Litigation side";"0";"1";"0";"36";"admindb";"null";""AND case.status c 'Buyback'"";"case, case.status, insurance_company, portfolio_purchase.investor, claim_id, provider, portfolio, portfolio_purchase, buyback_reason, buyback_portfolio_purchase, buyback_date, buyback_amount, claim_status, insured, claim_number, policy_number, total_bill_amount, adjusted_face_value, purchase_price, hurdle, portfolio.hurdle, portfolio.hurdle_percent, total_collections, date_of_loss, date_of_service, modifiedtime, createdtime";"564";"Buyback on Litigation side";"0";"0";"Claims";"3";"5";"1";"null";"36";"1";"";"null";""
"Claims";"650";"Case Filter";"0";"1";"0";"38";"shantanu";"null";""AND .onboarding_status e 'Purchased'", "AND portfolio_purchase.investor c 'Insured'"";"claim_number, claim_id, onboarding_status, portfolio, case, outside_case, insured, date_of_loss, conducted_by";"650";"Case Filter";"0";"0";"Claims";"1";"11";"1";"null";"38";"1";"";"null";""
"Claims";"651";"Case Filter - All Claims";"0";"1";"0";"39";"shantanu";"null";""AND portfolio_purchase.investor c 'Insured'", "AND .date_of_loss bw '2023-09-01,2023-09-20'"";"claim_id, onboarding_status, portfolio, case, insured, date_of_loss, date_of_service, aob_dtp_attorney";"651";"Case Filter - All Claims";"0";"0";"Claims";"1";"11";"1";"null";"39";"1";"";"null";""
"Claims";"657";"Anomalies Test";"0";"1";"0";"40";"Antuane";"null";"";"claim_number, claim_id, type_of_claim, portfolio, provider, insurance_company, insured, policy_number, date_of_loss";"657";"Anomalies Test";"0";"0";"Claims";"1";"104";"1";"null";"40";"1";"";"null";""
"Claims";"658";"Outside";"0";"1";"0";"41";"adminak";"null";""AND .outside_case ny ''"";"claim_id, claim_number, outside_case, insured";"658";"Outside";"0";"0";"Claims";"1";"7";"1";"null";"41";"1";"";"null";""
"Claims";"660";"All + Fee Factor";"0";"1";"0";"43";"adminak";"null";"";"outside_case, factor_fee, claim_id, insured, provider, portfolio, onboarding_status, claim_status, ho_attorney_confirmation_statu, claim_number, policy_number, case.case_id, total_bill_amount, adjusted_face_value, purchase_price, hurdle, portfolio.hurdle, portfolio.hurdle_percent, total_collections, total_balance_owed, date_of_loss, date_of_service, modifiedtime, createdtime";"660";"All + Fee Factor";"0";"0";"Claims";"1";"7";"1";"null";"43";"1";"";"null";""
"Claims";"677";"ILLEGAL DATA: Buybacks";"0";"1";"0";"44";"admindb";"null";""AND .claim_status e 'Buyback'", "AND": [ "OR .buyback_status y ''", "OR": [ "AND .buyback_status e 'BB applied'", "AND .buyback_portfolio_purchase y ''" ], , "OR": [ "AND .buyback_status e 'Cash BB applied'", "AND .buyback_portfolio_purchase ny ''" ],  ], ";"buyback_date, buyback_status, buyback_reason, buyback_amount, buyback_portfolio_purchase, claim_id, insured, provider, portfolio, onboarding_status, claim_status, ho_attorney_confirmation_statu, claim_number, policy_number, case, outside_case, total_bill_amount, adjusted_face_value, purchase_price, hurdle, portfolio.hurdle, portfolio.hurdle_percent, total_collections, total_balance_owed, date_of_loss, date_of_service, modifiedtime, createdtime, lock_automation";"677";"ILLEGAL DATA: Buybacks";"0";"0";"Claims";"3";"5";"1";"null";"44";"1";"";"null";""
"Claims";"687";"xxx";"0";"1";"0";"45";"akutowska";"null";"";"claim_status, case, claim_id";"687";"xxx";"0";"0";"Claims";"1";"44";"1";"null";"45";"1";"";"null";""
"Claims";"689";"All fot Texas Cases";"0";"1";"1";"46";"adminak";"null";"";"claim_id, claim_number, provider, portfolio, portfolio_purchase, type_of_claim";"689";"All fot Texas Cases";"0";"1";"Claims";"3";"7";"1";"null";"46";"1";"";"null";""
"Claims";"690";"All AGA";"0";"1";"1";"47";"adminak";"null";"";"claim_id, insured, provider, portfolio, onboarding_status, claim_status, ho_attorney_confirmation_statu, claim_number, policy_number, total_bill_amount, adjusted_face_value, purchase_price, hurdle, portfolio.hurdle, portfolio.hurdle_percent, total_collections, total_balance_owed, date_of_loss, date_of_service, modifiedtime";"690";"All AGA";"0";"1";"Claims";"3";"7";"1";"null";"47";"1";"";"null";""
"Claims";"691";"All XXX";"0";"1";"1";"48";"adminak";"null";"";"claim_number, modifiedtime, claim_id, insured";"691";"All XXX";"0";"1";"Claims";"3";"7";"1";"null";"48";"1";"";"null";""
"Claims";"692";"AGA99";"0";"1";"0";"49";"adminak";"null";"";"claim_id, claim_number, insured, insurance_company";"692";"AGA99";"0";"0";"Claims";"3";"7";"1";"null";"49";"1";"";"null";""
"Claims";"695";"Outside Case";"0";"1";"0";"50";"adminak";"null";""AND .outside_case ny ''"";"claim_id, claim_number, outside_case";"695";"Outside Case";"0";"0";"Claims";"1";"7";"1";"null";"50";"1";"";"null";""
"ClaimsDocumentsUpload";"670";"All";"1";"1";"0";"0";"adminmk";"null";"";"url, number, createdtime, assigned_user_id";"670";"All";"1";"0";"ClaimsDocumentsUpload";"0";"1";"1";"0";"0";"0";"null";"null";""
"CMileageLogbook";"109";"All";"1";"1";"0";"0";"adminmk";"";"";"subject, number_kilometers, number, cmileage_logbook_status, createdtime, assigned_user_id";"109";"All";"1";"0";"CMileageLogbook";"0";"1";"1";"0";"0";"0";"";"";""
"Collections";"188";"All";"1";"1";"0";"0";"adminmk";"{"payment_date":"DESC"}";"";"sorting_status, collection_name, case, outside_case, payment_date, check_number, value, attorney_fees, status_col, dont_apply_to_claims, deposit_date, disbursed_date, collection_type, date_of_calculations, value_to_apply_to_claims, limit_reserve_to_apply_to_clai, createdtime, modifiedtime";"188";"All";"1";"0";"Collections";"3";"1";"1";"0";"0";"0";"";"{"payment_date":"DESC"}";""
"Collections";"511";"Last 15 days";"0";"1";"1";"7";"admindb";"null";""AND .payment_date last15days ''"";"collection_name, insurance_company, payment_date, value, attorney_fees, value_plus_attorney_fees, case, outside_case";"511";"Last 15 days";"0";"1";"Collections";"3";"5";"1";"null";"7";"1";"";"null";""
"Competition";"87";"All";"1";"1";"0";"null";"adminmk";"";"";"subject, vat_id, assigned_user_id, createdtime";"87";"All";"1";"0";"Competition";"0";"1";"1";"0";"null";"0";"null";"";""
"Contacts";"7";"All";"1";"0";"0";"null";"adminmk";"";"";"firstname, lastname, parent_id, email, phone, assigned_user_id";"7";"All";"1";"0";"Contacts";"0";"1";"0";"0";"null";"0";"null";"";""
"ContactsDOT";"200";"All";"1";"1";"0";"0";"adminmk";"null";"";"name, person_company, email, phone, phone_extra, city, contact_type, contacts_status, lead, note, createdtime";"200";"All";"1";"0";"ContactsDOT";"3";"1";"1";"0";"0";"0";"";"null";""
"Counties";"193";"All";"1";"1";"0";"0";"adminmk";"{"county":"ASC"}";"";"county, address_book";"193";"All";"1";"0";"Counties";"0";"1";"1";"0";"0";"0";"";"{"county":"ASC"}";""
"Courts";"138";"All";"1";"1";"0";"0";"adminmk";"{"county":"ASC","court_type":"ASC","court_name":"ASC"}";"";"court_name, court_type, county, phone, e_mail, zip, city, state";"138";"All";"1";"0";"Courts";"3";"1";"1";"0";"0";"0";"";"{"county":"ASC","court_type":"ASC","court_name":"ASC"}";""
"Courts";"303";"County Courts";"0";"1";"1";"1";"admindb";"{"county":"ASC","court_type":"ASC","court_name":"ASC"}";""AND .court_type e 'County'"";"court_name, court_type, county, phone, e_mail, zip, city, state";"303";"County Courts";"0";"1";"Courts";"3";"5";"1";"null";"1";"1";"";"{"county":"ASC","court_type":"ASC","court_name":"ASC"}";""
"Courts";"304";"Circuit Courts";"0";"1";"1";"2";"admindb";"{"county":"ASC","court_type":"ASC","court_name":"ASC"}";""AND .court_type e 'Circuit'"";"court_name, court_type, county, phone, e_mail, zip, city, state";"304";"Circuit Courts";"0";"1";"Courts";"3";"5";"1";"null";"2";"1";"";"{"county":"ASC","court_type":"ASC","court_name":"ASC"}";""
"DataSetRegister";"112";"All";"1";"1";"0";"0";"adminmk";"null";"";"subject, assigned_user_id, datasetregister_status, data_submitted, registered_dpo, added_to_register, removed_from_register";"112";"All";"1";"0";"DataSetRegister";"0";"1";"1";"0";"0";"0";"";"null";""
"DocPackageEmailVariants";"174";"All";"1";"1";"0";"0";"adminmk";"{"mod_name":"ASC","email_variant_name":"ASC","condition":"ASC"}";"";"email_variant_name, condition, email_from, email_to, email_cc, email_subject";"174";"All";"1";"0";"DocPackageEmailVariants";"0";"1";"1";"0";"0";"0";"";"{"mod_name":"ASC","email_variant_name":"ASC","condition":"ASC"}";""
"DocumentPackages";"168";"All";"1";"1";"0";"0";"adminmk";"{"document_package_name":"ASC"}";"";"mod_name, document_package_name, result_document_type, result_file_name, package_type, modifiedtime";"168";"All";"1";"0";"DocumentPackages";"0";"1";"1";"0";"0";"0";"";"{"document_package_name":"ASC"}";""
"DocumentPackages";"568";"dropbox";"0";"1";"0";"1";"adminak";"null";"";"document_package_name, mod_name, send_to_dropbox";"568";"dropbox";"0";"0";"DocumentPackages";"1";"7";"1";"null";"1";"1";"";"null";""
"DocumentPackages";"577";"Send ti Dropbox";"0";"1";"0";"2";"adminak";"null";"";"document_package_name, mod_name, send_to_dropbox";"577";"Send ti Dropbox";"0";"0";"DocumentPackages";"1";"7";"1";"null";"2";"1";"";"null";""
"DocumentPackageSources";"173";"All";"1";"1";"0";"0";"adminmk";"{"document_package":"ASC","sequence_number_or_name":"ASC"}";"";"document_package, sequence_number_or_name, condition, source_document, modifiedtime";"173";"All";"1";"0";"DocumentPackageSources";"0";"1";"1";"0";"0";"0";"";"{"document_package":"ASC","sequence_number_or_name":"ASC"}";""
"Documents";"22";"All";"1";"0";"0";"null";"adminmk";"{"modifiedtime":"DESC"}";"";"createdtime, modifiedtime, notes_title, filename, documents_status, folderid, document_type, case, assigned_user_id";"22";"All";"1";"0";"Documents";"0";"1";"0";"0";"null";"0";"";"{"modifiedtime":"DESC"}";""
"Documents";"184";"SOC Documents - Misc. PMC Docs";"0";"1";"0";"10";"admindb";"null";""AND .document_type c 'SOC Documents'", "AND .special-current-role e 'H60'"";"createdtime, modifiedtime, notes_title, filename, filesize, documents_status, folderid, document_type, assigned_user_id";"184";"SOC Documents - Misc. PMC Docs";"0";"0";"Documents";"3";"5";"1";"null";"10";"1";"";"null";""
"Documents";"187";"Louisiana Guidelines - Misc. PMC Docs";"0";"1";"0";"11";"admindb";"null";""AND .document_type ew 'Louisiana'"";"createdtime, modifiedtime, notes_title, filename, filesize, documents_status, folderid, document_type, assigned_user_id";"187";"Louisiana Guidelines - Misc. PMC Docs";"0";"0";"Documents";"3";"5";"1";"null";"11";"1";"";"null";""
"Documents";"189";"Florida Guidelines - Misc. PMC Docs";"0";"1";"0";"12";"admindb";"null";""AND .document_type ew 'Florida'"";"createdtime, modifiedtime, notes_title, filename, filesize, documents_status, folderid, document_type, assigned_user_id";"189";"Florida Guidelines - Misc. PMC Docs";"0";"0";"Documents";"3";"5";"1";"null";"12";"1";"";"null";""
"Documents";"190";"Texas Guidelines - Misc. PMC Docs";"0";"1";"0";"13";"admindb";"null";""AND .document_type ew 'Florida'"";"createdtime, modifiedtime, notes_title, filename, filesize, documents_status, folderid, document_type, assigned_user_id";"190";"Texas Guidelines - Misc. PMC Docs";"0";"0";"Documents";"3";"5";"1";"null";"13";"1";"";"null";""
"Documents";"248";"OCR";"0";"1";"0";"1";"admindb";"null";"";"modifiedtime, notes_title, filename, documents_status, document_type, last_date_of_parsing, verification_warnings, assigned_user_id";"248";"OCR";"0";"0";"Documents";"3";"5";"1";"null";"1";"1";"";"null";""
"Documents";"286";"All 2";"0";"1";"0";"2";"adminak";"[]";"";"document_type, documents_status, folderid, portfolio, case, claim, filename, assigned_user_id, filesize, modifiedtime";"286";"All 2";"0";"0";"Documents";"1";"7";"1";"null";"2";"1";"";"[]";""
"Documents";"562";"ILLEGAL DATA: inconsistent Case vs Claim-&gt;Case";"0";"1";"0";"3";"adminak";"null";""AND .claim ny ''", "AND claim.case ny ''", "AND": [ "OR .case y ''", "OR .case rne 'case:Claims:claim'" ], ";"claim, claim.case, case, modifiedtime, notes_title, filename, documents_status, folderid, document_type, assigned_user_id";"562";"ILLEGAL DATA: inconsistent Case vs Claim-&gt;Case";"0";"0";"Documents";"3";"7";"1";"null";"3";"1";"";"null";""
